player,position,dob,caps,club,flag,year,start_date,country,dob_dt,days_old
Bakkies Botha,Lock,22 September 1979,6.0,Bulls,South Africa,2003,2003-10-10,South Africa,1979-09-22,8784.0
Victor Matfield,Lock,11 May 1977,20.0,Bulls,South Africa,2003,2003-10-10,South Africa,1977-05-11,9648.0
Danie Rossouw,Lock,6 May 1978,0.0,Bulls,South Africa,2003,2003-10-10,South Africa,1978-05-06,9288.0
Schalk Burger,Back row,13 April 1983,0.0,Western Province,South Africa,2003,2003-10-10,South Africa,1983-04-13,7485.0
Corne Krige (c),Back row,21 March 1975,36.0,Western Province,South Africa,2003,2003-10-10,South Africa,1975-03-21,10430.0
Hendro Scholtz,Back row,22 March 1979,3.0,Cats,South Africa,2003,2003-10-10,South Africa,1979-03-22,8968.0
Joe van Niekerk,Back row,4 May 1980,19.0,Cats,South Africa,2003,2003-10-10,South Africa,1980-05-04,8559.0
Juan Smith,Back row,30 July 1981,6.0,Cats,South Africa,2003,2003-10-10,South Africa,1981-07-30,8107.0
Joost van der Westhuizen,Scrum-half,20 February 1971,85.0,Bulls,South Africa,2003,2003-10-10,South Africa,1971-02-20,11920.0
Neil de Kock,Scrum-half,20 November 1978,7.0,Western Province,South Africa,2003,2003-10-10,South Africa,1978-11-20,9090.0
Derick Hougaard,Fly-half,4 January 1983,0.0,Bulls,South Africa,2003,2003-10-10,South Africa,1983-01-04,7584.0
Louis Koen,Fly-half,7 July 1975,11.0,Cats,South Africa,2003,2003-10-10,South Africa,1975-07-07,10322.0
Jaco van der Westhuyzen,Fly-half,6 April 1978,6.0,Bulls,South Africa,2003,2003-10-10,South Africa,1978-04-06,9318.0
Stefan Terblanche,Centre,2 June 1975,36.0,Sharks,South Africa,2003,2003-10-10,South Africa,1975-06-02,10357.0
De Wet Barry,Centre,24 June 1978,19.0,Western Province,South Africa,2003,2003-10-10,South Africa,1978-06-24,9239.0
Jaque Fourie,Centre,4 March 1984,0.0,Cats,South Africa,2003,2003-10-10,South Africa,1984-03-04,7159.0
Jorrie Muller,Wing,1 March 1981,2.0,Cats,South Africa,2003,2003-10-10,South Africa,1981-03-01,8258.0
Ashwin Willemse,Wing,8 September 1981,5.0,Cats,South Africa,2003,2003-10-10,South Africa,1981-09-08,8067.0
Breyton Paulse,Wing,25 April 1976,39.0,Western Province,South Africa,2003,2003-10-10,South Africa,1976-04-25,10029.0
Werner Greeff,Wing,14 July 1977,7.0,Western Province,South Africa,2003,2003-10-10,South Africa,1977-07-14,9584.0
Thinus Delport,Fullback,2 February 1975,12.0,Gloucester,England,2003,2003-10-10,South Africa,1975-02-02,10477.0
Ricardo Loubscher,Fullback,11 June 1974,2.0,Sharks,South Africa,2003,2003-10-10,South Africa,1974-06-11,10713.0
Jonathan Meredith,Hooker,8 July 1978,9.0,Auckland,New Zealand,2003,2003-10-10,Samoa,1978-07-08,9225.0
Mahonri Schwalger,Hooker,15 September 1978,4.0,Hawke's Bay,New Zealand,2003,2003-10-10,Samoa,1978-09-15,9156.0
Simon Lemalu,Prop,23 January 1981,0.0,Otahuhu RFC,New Zealand,2003,2003-10-10,Samoa,1981-01-23,8295.0
Kas Lealamanua,Prop,15 September 1976,17.0,Wellington,New Zealand,2003,2003-10-10,Samoa,1976-09-15,9886.0
Tamato Leupolu,Prop,7 December 1980,9.0,Auckland,New Zealand,2003,2003-10-10,Samoa,1980-12-07,8342.0
Jeremy Tomuli,Prop,13 October 1971,9.0,Colomiers,France,2003,2003-10-10,Samoa,1971-10-13,11685.0
Leo Lafaiali'i,Lock,30 January 1974,11.0,Sanyo Wild Knights,Japan,2003,2003-10-10,Samoa,1974-01-30,10845.0
Opeta Palepoi,Lock,2 December 1975,32.0,Exeter Chiefs,England,2003,2003-10-10,Samoa,1975-12-02,10174.0
Michael von Dincklage,Lock,21 June 1978,0.0,Waitemata,New Zealand,2003,2003-10-10,Samoa,1978-06-21,9242.0
Maurie Fa'asavalu,Back row,12 January 1980,3.0,Marist St. Joseph,Samoa,2003,2003-10-10,Samoa,1980-01-12,8672.0
Des Tuiavi'i,Back row,14 January 1970,2.0,Rotherham,England,2003,2003-10-10,Samoa,1970-01-14,12322.0
Patrick Segi,Back row,21 September 1980,11.0,Auckland,New Zealand,2003,2003-10-10,Samoa,1980-09-21,8419.0
Siaosi Vaili,Back row,7 September 1977,6.0,Exeter Chiefs,England,2003,2003-10-10,Samoa,1977-09-07,9529.0
Peter Poulos,Back row,7 July 1977,0.0,NTT DoCoMo Red Hurricanes,Japan,2003,2003-10-10,Samoa,1977-07-07,9591.0
Semo Sititi,Back row,6 March 1974,27.0,Borders Reivers,Scotland,2003,2003-10-10,Samoa,1974-03-06,10810.0
Kitiona Viliamu,Back row,7 June 1977,5.0,Counties Manukau,New Zealand,2003,2003-10-10,Samoa,1977-06-07,9621.0
Henry Tuilagi,Back row,12 August 1976,4.0,Leicester Tigers,England,2003,2003-10-10,Samoa,1976-08-12,9920.0
John Senio,Scrum-half,10 September 1982,0.0,Waitemata,New Zealand,2003,2003-10-10,Samoa,1982-09-10,7700.0
Steven So'oialo,Scrum-half,11 May 1977,24.0,Orrell,England,2003,2003-10-10,Samoa,1977-05-11,9648.0
Denning Tyrell,Scrum-half,9 May 1976,9.0,Taranaki,New Zealand,2003,2003-10-10,Samoa,1976-05-09,10015.0
Tanner Vili,Fly-half,13 May 1976,16.0,Borders Reivers,Scotland,2003,2003-10-10,Samoa,1976-05-13,10011.0
Fa'atonu Fili,Fly-half,31 August 1981,2.0,Wellington,New Zealand,2003,2003-10-10,Samoa,1981-08-31,8075.0
Terry Fanolua,Centre,3 July 1974,22.0,Gloucester,England,2003,2003-10-10,Samoa,1974-07-03,10691.0
Brian Lima,Centre,25 January 1972,49.0,Secom Rugguts,Japan,2003,2003-10-10,Samoa,1972-01-25,11581.0
Dale Rasmussen,Centre,5 July 1977,2.0,Ponsonby RFC,New Zealand,2003,2003-10-10,Samoa,1977-07-05,9593.0
Romi Ropati,Wing,20 June 1976,0.0,Toyota Verblitz,Japan,2003,2003-10-10,Samoa,1976-06-20,9973.0
Lome Fa'atau,Wing,23 October 1975,13.0,Hurricanes,New Zealand,2003,2003-10-10,Samoa,1975-10-23,10214.0
Ron Fanuatanu,Wing,7 July 1982,1.0,Marist St. Joseph,Samoa,2003,2003-10-10,Samoa,1982-07-07,7765.0
Sailosi Tagicakibau,Wing,14 November 1982,1.0,Papakura,New Zealand,2003,2003-10-10,Samoa,1982-11-14,7635.0
Dominic Feaunati,Wing,14 June 1978,0.0,Wellington,New Zealand,2003,2003-10-10,Samoa,1978-06-14,9249.0
Earl Va'a,Fullback,1 May 1972,24.0,Wellington,New Zealand,2003,2003-10-10,Samoa,1972-05-01,11484.0
Diego Lamelas,Hooker,14 November 1972,41.0,Asociación Alumni,Argentina,2003,2003-10-10,Uruguay,1972-11-14,11287.0
Juan Andres Perez,Hooker,26 August 1975,15.0,unknown,,2003,2003-10-10,Uruguay,1975-08-26,10272.0
Eduardo Berruti,Prop,15 March 1968,43.0,unknown,,2003,2003-10-10,Uruguay,1968-03-15,12992.0
Pablo Lemoine,Prop,1 March 1975,32.0,Stade Français,France,2003,2003-10-10,Uruguay,1975-03-01,10450.0
Juan Machado,Prop,23 July 1973,25.0,unknown,,2003,2003-10-10,Uruguay,1973-07-23,11036.0
Rodrigo Sánchez,Prop,25 October 1976,40.0,Carrasco Polo Club,Uruguay,2003,2003-10-10,Uruguay,1976-10-25,9846.0
Guillermo Storace,Prop,20 March 1974,33.0,Old Christians Club,Uruguay,2003,2003-10-10,Uruguay,1974-03-20,10796.0
Juan Álvarez,Lock,8 July 1980,10.0,Carrasco Polo Club,Uruguay,2003,2003-10-10,Uruguay,1980-07-08,8494.0
Juan Alzueta,Lock,9 September 1975,28.0,unknown,,2003,2003-10-10,Uruguay,1975-09-09,10258.0
Juan Carlos Bado,Lock,29 December 1973,41.0,Stade Français,France,2003,2003-10-10,Uruguay,1973-12-29,10877.0
Marcelo Gutierrez,Lock,10 August 1977,17.0,unknown,,2003,2003-10-10,Uruguay,1977-08-10,9557.0
Nicolas Brignoni,Back row,3 September 1976,34.0,L'Aquila,Italy,2003,2003-10-10,Uruguay,1976-09-03,9898.0
Ignacio Conti,Back row,5 September 1977,8.0,Carrasco Polo Club,Uruguay,2003,2003-10-10,Uruguay,1977-09-05,9531.0
Nicolas Grille,Back row,13 December 1974,38.0,unknown,,2003,2003-10-10,Uruguay,1974-12-13,10528.0
Hernan Ponte,Back row,2 January 1981,15.0,unknown,,2003,2003-10-10,Uruguay,1981-01-02,8316.0
Rodrigo Capo Ortega,Back row,8 December 1980,20.0,Castres,France,2003,2003-10-10,Uruguay,1980-12-08,8341.0
Emiliano Caffera,Scrum-half,30 October 1978,19.0,Club Champagnat,Uruguay,2003,2003-10-10,Uruguay,1978-10-30,9111.0
Juan Campomar,Scrum-half,10 March 1982,4.0,Old Boys,Uruguay,2003,2003-10-10,Uruguay,1982-03-10,7884.0
Bernardo Amarillo,Fly-half,14 January 1978,21.0,Carrasco Polo Club,Uruguay,2003,2003-10-10,Uruguay,1978-01-14,9400.0
Sebastián Aguirre,Fly-half,15 July 1976,28.0,Carrasco Polo Club,Uruguay,2003,2003-10-10,Uruguay,1976-07-15,9948.0
Diego Aguirre (c),Centre,23 September 1974,46.0,Carrasco Polo Club,Uruguay,2003,2003-10-10,Uruguay,1974-09-23,10609.0
Joaquin De Freitas,Centre,21 April 1978,17.0,unknown,,2003,2003-10-10,Uruguay,1978-04-21,9303.0
Martin Mendaro,Centre,1 August 1973,44.0,unknown,,2003,2003-10-10,Uruguay,1973-08-01,11027.0
Joaquin Pastore,Centre,8 December 1981,7.0,Old Boys,Uruguay,2003,2003-10-10,Uruguay,1981-12-08,7976.0
Carlos Baldassari,Wing,15 March 1979,2.0,Club Champagnat,Uruguay,2003,2003-10-10,Uruguay,1979-03-15,8975.0
Alfonso Cardoso,Wing,27 December 1971,36.0,Old Boys,Uruguay,2003,2003-10-10,Uruguay,1971-12-27,11610.0
Emiliano Ibarra,Wing,10 March 1974,22.0,unknown,,2003,2003-10-10,Uruguay,1974-03-10,10806.0
Jose Viana,Wing,2 September 1977,12.0,unknown,,2003,2003-10-10,Uruguay,1977-09-02,9534.0
Juan Menchaca,Fullback,23 July 1977,28.0,Carrasco Polo Club,Uruguay,2003,2003-10-10,Uruguay,1977-07-23,9575.0
Diego Reyes,Fullback,24 September 1980,5.0,unknown,,2003,2003-10-10,Uruguay,1980-09-24,8416.0
Akvsenti Giorgadze,Hooker,4 June 1976,31.0,Rovigo,Italy,2003,2003-10-10,Georgia,1976-06-04,9989.0
David Dadunashvili,Hooker,27 January 1982,1.0,RC Nîmes,France,2003,2003-10-10,Georgia,1982-01-27,7926.0
Aleko Margvelashvili,Prop,5 June 1975,1.0,unknown,,2003,2003-10-10,Georgia,1975-06-05,10354.0
Soso Nikolaenko,Prop,18 May 1975,11.0,unknown,,2003,2003-10-10,Georgia,1975-05-18,10372.0
Goderdzi Shvelidze,Prop,17 April 1978,24.0,Béziers,France,2003,2003-10-10,Georgia,1978-04-17,9307.0
Avto Kopaliani,Prop,13 June 1982,1.0,US Montauban,France,2003,2003-10-10,Georgia,1982-06-13,7789.0
Victor Didebulidze,Lock,4 November 1971,28.0,RC Nîmes,France,2003,2003-10-10,Georgia,1971-11-04,11663.0
Sergo Gujaraidze,Lock,23 August 1979,0.0,unknown,,2003,2003-10-10,Georgia,1979-08-23,8814.0
Zurab Mtchedlishvil,Lock,22 October 1971,32.0,SC Albi,France,2003,2003-10-10,Georgia,1971-10-22,11676.0
Vano Nadiradze,Lock,23 February 1972,32.0,unknown,,2003,2003-10-10,Georgia,1972-02-23,11552.0
Davit Bolghashvili,Back row,19 September 1979,20.0,unknown,,2003,2003-10-10,Georgia,1979-09-19,8787.0
Gia Labadze,Back row,21 September 1973,33.0,Toulon,France,2003,2003-10-10,Georgia,1973-09-21,10976.0
George Tsiklauri,Back row,9 September 1981,0.0,unknown,,2003,2003-10-10,Georgia,1981-09-09,8066.0
Grégoire Yachvili,Back row,30 May 1977,9.0,Stade Bordelais,France,2003,2003-10-10,Georgia,1977-05-30,9629.0
Giorgi Chkhaidze,Back row,20 August 1981,7.0,RC Massy,France,2003,2003-10-10,Georgia,1981-08-20,8086.0
Ilia Zedginidze (c),Back row,30 May 1977,9.0,Rovigo,Italy,2003,2003-10-10,Georgia,1977-05-30,9629.0
Irakli Abuseridze,Scrum-half,25 November 1977,22.0,Aurillac,France,2003,2003-10-10,Georgia,1977-11-25,9450.0
Irakli Modebadze,Scrum-half,22 November 1979,1.0,unknown,,2003,2003-10-10,Georgia,1979-11-22,8723.0
Paliko Jimsheladze,Fly-half,8 July 1975,38.0,Aurillac,France,2003,2003-10-10,Georgia,1975-07-08,10321.0
Merab Kvirikashvili,Fly-half,27 December 1983,3.0,Lelo Saracens,Georgia (country),2003,2003-10-10,Georgia,1983-12-27,7227.0
Otar Eloshvili,Centre,15 November 1978,1.0,Compiègne,France,2003,2003-10-10,Georgia,1978-11-15,9095.0
Irakli Giorgadze,Centre,17 December 1982,7.0,Bourgoin,France,2003,2003-10-10,Georgia,1982-12-17,7602.0
Vasil Katsadze,Centre,16 July 1976,28.0,Grenoble,France,2003,2003-10-10,Georgia,1976-07-16,9947.0
Tedo Zibzibadze,Centre,6 August 1980,24.0,Gourdon XV,France,2003,2003-10-10,Georgia,1980-08-06,8465.0
Archil Kavtarashvili,Wing,16 March 1973,0.0,unknown,,2003,2003-10-10,Georgia,1973-03-16,11165.0
Badri Khekhelashvili,Wing,15 February 1978,23.0,unknown,,2003,2003-10-10,Georgia,1978-02-15,9368.0
Gocha Khonelidze,Wing,2 February 1976,1.0,unknown,,2003,2003-10-10,Georgia,1976-02-02,10112.0
Malkhaz Urjukashvili,Wing,24 September 1980,28.0,Rugby Club Cannes Mandelieu,France,2003,2003-10-10,Georgia,1980-09-24,8416.0
Irakli Machkhaneli,Fullback,16 July 1976,28.0,RC Armazi Tbilisi,Georgia (country),2003,2003-10-10,Georgia,1976-07-16,9947.0
Bessik Khamashuridze,Fullback,14 August 1977,29.0,Rugby Club Cannes Mandelieu,France,2003,2003-10-10,Georgia,1977-08-14,9553.0
Corey Flynn,Hooker,5 January 1981,0.0,Crusaders / Canterbury,New Zealand,2003,2003-10-10,New Zealand,1981-01-05,8313.0
Mark Hammett,Hooker,13 July 1972,24.0,Crusaders / Canterbury,New Zealand,2003,2003-10-10,New Zealand,1972-07-13,11411.0
Keven Mealamu,Hooker,20 March 1979,8.0,Blues / Auckland,New Zealand,2003,2003-10-10,New Zealand,1979-03-20,8970.0
Dave Hewett,Prop,14 July 1971,16.0,Crusaders / Canterbury,New Zealand,2003,2003-10-10,New Zealand,1971-07-14,11776.0
Carl Hoeft,Prop,13 November 1974,28.0,Highlanders / Otago,New Zealand,2003,2003-10-10,New Zealand,1974-11-13,10558.0
Kees Meeuws,Prop,26 July 1974,29.0,Blues / Auckland,New Zealand,2003,2003-10-10,New Zealand,1974-07-26,10668.0
Greg Somerville,Prop,28 November 1977,28.0,Crusaders / Canterbury,New Zealand,2003,2003-10-10,New Zealand,1977-11-28,9447.0
Chris Jack,Lock,5 September 1978,20.0,Crusaders / Canterbury,New Zealand,2003,2003-10-10,New Zealand,1978-09-05,9166.0
Brad Thorn,Lock,3 February 1975,5.0,Crusaders / Canterbury,New Zealand,2003,2003-10-10,New Zealand,1975-02-03,10476.0
Ali Williams,Lock,30 April 1981,10.0,Blues / Auckland,New Zealand,2003,2003-10-10,New Zealand,1981-04-30,8198.0
Daniel Braid,Back row,23 February 1981,1.0,Blues / Auckland,New Zealand,2003,2003-10-10,New Zealand,1981-02-23,8264.0
Marty Holah,Back row,10 September 1978,17.0,Chiefs / Waikato,New Zealand,2003,2003-10-10,New Zealand,1978-09-10,9161.0
Richie McCaw,Back row,31 December 1980,14.0,Crusaders / Canterbury,New Zealand,2003,2003-10-10,New Zealand,1980-12-31,8318.0
Reuben Thorne (c),Back row,2 January 1975,34.0,Crusaders / Canterbury,New Zealand,2003,2003-10-10,New Zealand,1975-01-02,10508.0
Jerry Collins,Back row,4 November 1980,8.0,Hurricanes / Wellington,New Zealand,2003,2003-10-10,New Zealand,1980-11-04,8375.0
Rodney So'oialo,Back row,3 October 1979,3.0,Hurricanes / Wellington,New Zealand,2003,2003-10-10,New Zealand,1979-10-03,8773.0
Steve Devine,Scrum-half,21 December 1976,8.0,Blues / Auckland,New Zealand,2003,2003-10-10,New Zealand,1976-12-21,9789.0
Byron Kelleher,Scrum-half,3 December 1976,24.0,Highlanders / Otago,New Zealand,2003,2003-10-10,New Zealand,1976-12-03,9807.0
Justin Marshall,Scrum-half,5 August 1973,65.0,Crusaders / Canterbury,New Zealand,2003,2003-10-10,New Zealand,1973-08-05,11023.0
Dan Carter,Fly-half,5 March 1982,3.0,Crusaders / Canterbury,New Zealand,2003,2003-10-10,New Zealand,1982-03-05,7889.0
Carlos Spencer,Fly-half,14 October 1975,22.0,Blues / Auckland,New Zealand,2003,2003-10-10,New Zealand,1975-10-14,10223.0
Leon MacDonald,Fly-half,21 December 1977,19.0,Crusaders / Canterbury,New Zealand,2003,2003-10-10,New Zealand,1977-12-21,9424.0
Aaron Mauger,Centre,29 November 1980,15.0,Crusaders / Canterbury,New Zealand,2003,2003-10-10,New Zealand,1980-11-29,8350.0
Ben Atiga1,Centre,5 May 1983,0.0,Auckland,New Zealand,2003,2003-10-10,New Zealand,1983-05-05,7463.0
Tana Umaga,Centre,27 May 1973,54.0,Hurricanes / Wellington,New Zealand,2003,2003-10-10,New Zealand,1973-05-27,11093.0
Ma'a Nonu,Centre,21 May 1982,1.0,Hurricanes / Wellington,New Zealand,2003,2003-10-10,New Zealand,1982-05-21,7812.0
Caleb Ralph,Wing,10 September 1977,10.0,Crusaders / Canterbury,New Zealand,2003,2003-10-10,New Zealand,1977-09-10,9526.0
Joe Rokocoko,Wing,6 June 1983,7.0,Blues / Auckland,New Zealand,2003,2003-10-10,New Zealand,1983-06-06,7431.0
Doug Howlett,Wing,21 September 1978,31.0,Blues / Auckland,New Zealand,2003,2003-10-10,New Zealand,1978-09-21,9150.0
Mils Muliaina,Fullback,30 July 1980,7.0,Blues / Auckland,New Zealand,2003,2003-10-10,New Zealand,1980-07-30,8472.0
Huw Bennett,Hooker,11 June 1983,2.0,Ospreys,Wales,2003,2003-10-10,Wales,1983-06-11,7426.0
Mefin Davies,Hooker,2 September 1972,11.0,Celtic Warriors,Wales,2003,2003-10-10,Wales,1972-09-02,11360.0
Robin McBryde,Hooker,3 July 1970,26.0,Scarlets,Wales,2003,2003-10-10,Wales,1970-07-03,12152.0
Paul James,Prop,13 May 1982,1.0,Ospreys,Wales,2003,2003-10-10,Wales,1982-05-13,7820.0
Gethin Jenkins,Prop,17 November 1980,10.0,Celtic Warriors,Wales,2003,2003-10-10,Wales,1980-11-17,8362.0
Adam Jones,Prop,8 March 1981,2.0,Ospreys,Wales,2003,2003-10-10,Wales,1981-03-08,8251.0
Iestyn Thomas,Prop,15 December 1976,25.0,Scarlets,Wales,2003,2003-10-10,Wales,1976-12-15,9795.0
Brent Cockbain,Lock,15 November 1974,1.0,Celtic Warriors,Wales,2003,2003-10-10,Wales,1974-11-15,10556.0
Gareth Llewellyn,Lock,27 February 1969,79.0,Ospreys,Wales,2003,2003-10-10,Wales,1969-02-27,12643.0
Robert Sidoli,Lock,21 June 1979,13.0,Celtic Warriors,Wales,2003,2003-10-10,Wales,1979-06-21,8877.0
Chris Wyatt,Lock,10 June 1973,36.0,Scarlets,Wales,2003,2003-10-10,Wales,1973-06-10,11079.0
Colin Charvis (c),Back row,27 December 1972,59.0,Tarbes,France,2003,2003-10-10,Wales,1972-12-27,11244.0
Dafydd Jones,Back row,24 June 1979,10.0,Scarlets,Wales,2003,2003-10-10,Wales,1979-06-24,8874.0
Jonathan Thomas,Back row,27 December 1982,4.0,Ospreys,Wales,2003,2003-10-10,Wales,1982-12-27,7592.0
Martyn Williams,Back row,1 September 1975,36.0,Cardiff Blues,Wales,2003,2003-10-10,Wales,1975-09-01,10266.0
Alix Popham,Back row,17 October 1979,4.0,Leeds Tykes,England,2003,2003-10-10,Wales,1979-10-17,8759.0
Gareth Cooper,Scrum-half,7 May 1979,10.0,Celtic Warriors,Wales,2003,2003-10-10,Wales,1979-05-07,8922.0
Dwayne Peel,Scrum-half,31 August 1981,21.0,Scarlets,Wales,2003,2003-10-10,Wales,1981-08-31,8075.0
Stephen Jones,Fly-half,8 December 1977,31.0,Scarlets,Wales,2003,2003-10-10,Wales,1977-12-08,9437.0
Ceri Sweeney,Fly-half,21 January 1980,5.0,Celtic Warriors,Wales,2003,2003-10-10,Wales,1980-01-21,8663.0
Iestyn Harris,Centre,25 June 1976,17.0,Cardiff Blues,Wales,2003,2003-10-10,Wales,1976-06-25,9968.0
Sonny Parker,Centre,27 August 1977,5.0,Celtic Warriors,Wales,2003,2003-10-10,Wales,1977-08-27,9540.0
Tom Shanklin,Centre,24 November 1979,15.0,Cardiff Blues,Wales,2003,2003-10-10,Wales,1979-11-24,8721.0
Mark Taylor,Centre,27 February 1973,40.0,Scarlets,Wales,2003,2003-10-10,Wales,1973-02-27,11182.0
Mark Jones,Wing,7 November 1979,12.0,Scarlets,Wales,2003,2003-10-10,Wales,1979-11-07,8738.0
Gareth Thomas,Wing,25 July 1974,68.0,Celtic Warriors,Wales,2003,2003-10-10,Wales,1974-07-25,10669.0
Kevin Morgan,Wing,23 February 1977,24.0,Celtic Warriors,Wales,2003,2003-10-10,Wales,1977-02-23,9725.0
Shane Williams,Wing,26 February 1977,11.0,Ospreys,Wales,2003,2003-10-10,Wales,1977-02-26,9722.0
Garan Evans,Fullback,16 February 1973,3.0,Scarlets,Wales,2003,2003-10-10,Wales,1973-02-16,11193.0
Rhys Williams,Fullback,23 February 1980,30.0,Cardiff Blues,Wales,2003,2003-10-10,Wales,1980-02-23,8630.0
Carlo Festuccia,Hooker,20 June 1980,8.0,Parma,Italy,2003,2003-10-10,Italy,1980-06-20,8512.0
Fabio Ongaro,Hooker,23 September 1977,12.0,Benetton Treviso,Italy,2003,2003-10-10,Italy,1977-09-23,9513.0
Martin Castrogiovanni,Prop,21 October 1981,11.0,Calvisano,Italy,2003,2003-10-10,Italy,1981-10-21,8024.0
Andrea Lo Cicero,Prop,7 May 1976,26.0,Toulouse,France,2003,2003-10-10,Italy,1976-05-07,10017.0
Ramiro Martinez,Prop,23 October 1970,9.0,Benetton Treviso,Italy,2003,2003-10-10,Italy,1970-10-23,12040.0
Salvatore Perugini,Prop,6 March 1978,15.0,Calvisano,Italy,2003,2003-10-10,Italy,1978-03-06,9349.0
Cristian Bezzi,Lock,13 May 1975,6.0,Viadana,Italy,2003,2003-10-10,Italy,1975-05-13,10377.0
Marco Bortolami,Lock,12 June 1980,20.0,Petrarca,Italy,2003,2003-10-10,Italy,1980-06-12,8520.0
Carlo Checchinato,Lock,30 August 1970,76.0,Benetton Treviso,Italy,2003,2003-10-10,Italy,1970-08-30,12094.0
Santiago Dellapè,Lock,9 May 1978,11.0,Benetton Treviso,Italy,2003,2003-10-10,Italy,1978-05-09,9285.0
Andrea Benatti,Back row,8 November 1979,4.0,Aironi,Italy,2003,2003-10-10,Italy,1979-11-08,8737.0
Mauro Bergamasco,Back row,1 May 1979,32.0,Stade Français,France,2003,2003-10-10,Italy,1979-05-01,8928.0
Andrea de Rossi,Back row,7 August 1972,25.0,Calvisano,Italy,2003,2003-10-10,Italy,1972-08-07,11386.0
Scott Palmer,Back row,10 November 1977,7.0,Benetton Treviso,Italy,2003,2003-10-10,Italy,1977-11-10,9465.0
Aaron Persico,Back row,29 March 1978,33.0,Leeds Tykes,England,2003,2003-10-10,Italy,1978-03-29,9326.0
Sergio Parisse,Back row,12 September 1983,8.0,Benetton Treviso,Italy,2003,2003-10-10,Italy,1983-09-12,7333.0
Matthew Phillips,Back row,10 April 1975,12.0,Viadana,Italy,2003,2003-10-10,Italy,1975-04-10,10410.0
Matteo Mazzantini,Scrum-half,24 October 1976,7.0,Viadana,Italy,2003,2003-10-10,Italy,1976-10-24,9847.0
Alessandro Troncon (c),Scrum-half,6 September 1973,79.0,Benetton Treviso,Italy,2003,2003-10-10,Italy,1973-09-06,10991.0
Francesco Mazzariol,Fly-half,1 March 1975,29.0,Benetton Treviso,Italy,2003,2003-10-10,Italy,1975-03-01,10450.0
Rima Wakarua,Fly-half,23 March 1976,0.0,Rugby Leonessa 1928,Italy,2003,2003-10-10,Italy,1976-03-23,10062.0
Matteo Barbini,Centre,8 June 1982,5.0,Benetton Treviso,Italy,2003,2003-10-10,Italy,1982-06-08,7794.0
Manuel Dallan,Centre,15 October 1976,13.0,Venezia,Italy,2003,2003-10-10,Italy,1976-10-15,9856.0
Cristian Stoica,Centre,1 August 1976,52.0,Montpellier,France,2003,2003-10-10,Italy,1976-08-01,9931.0
Gonzalo Canale,Centre,1 November 1982,2.0,Benetton Treviso,Italy,2003,2003-10-10,Italy,1982-11-01,7648.0
